time (s),friction coefficient,time (ms),SEP_300,FIM_300,SEP_500,FIM_500,SEP_1000,FIM_1000,phase
0.0005461772710999546,0.3351810852484195,0.5461772710999545,,,,,,,
0.0005992914581458808,0.3598117395321961,0.5992914581458808,,,,,,,
0.0006560010670841465,0.3712747340747841,0.6560010670841465,,,,,,,
0.0007161426696469183,0.3831328707981718,0.7161426696469183,,,,,,,
0.0007796617897449183,0.39177429932466,0.7796617897449183,,,,,,,
0.0008466129034674242,0.4079027347458391,0.8466129034674242,,,,,,,
0.0009172683912608256,0.41177979546038745,0.9172683912608256,,,,,,,
0.0009916282531251222,0.421782543528251,0.9916282531251223,,,,,,,
0.001069746965149592,0.4346568688902127,1.069746965149592,,,,,,,
0.0011517334795127909,0.4416704300479724,1.151733479512791,,,,,,,
0.0012373698918576072,0.4484565383758874,1.2373698918576073,,,,,,,
0.0013267651543625969,0.4538198286846469,1.326765154362597,,,,,,,
0.0014200282192063155,0.4680884204099403,1.4200282192063154,,,,,,,
0.0015173769907458746,0.47500404741008356,1.5173769907458747,,,,,,,
0.0016186480407134405,0.4833374517506112,1.6186480407134405,,,,,,,
0.0017237868930197354,0.4852621681954731,1.7237868930197353,,,,,,,
0.001832956975932593,0.49294418847319155,1.832956975932593,,,,,,,
0.0019459403850949014,0.501004754212129,1.9459403850949015,,,,,,,
0.0020629550248637725,0.5058636685413244,2.0629550248637725,,,,,,,
0.0021842732756855955,0.4968031540372284,2.1842732756855954,,,,,,,
0.002309731709292537,0.5095977083540426,2.309731709292537,,,,,,,
0.0024391124213274853,0.506670983904089,2.439112421327485,,,,,,,
0.002572633316147552,0.5086081144316814,2.5726333161475523,,,,,,,
0.002709913061127792,0.5125197694431839,2.709913061127792,,,,,,,
0.0028517143215180956,0.508743620532715,2.8517143215180956,,,,,,,
0.002997546812514962,0.5106834024470946,2.997546812514962,,,,,,,
0.0031474650102076684,0.5166710691127224,3.1474650102076684,,,,,,,
0.0033014144385069373,0.5032769730770061,3.3014144385069373,,,,,,,
0.0034596674778591585,0.5241679460214381,3.4596674778591585,,,,,,,
0.003621624891282275,0.5151415254949785,3.621624891282275,,,,,,,
0.0037879948679368993,0.5104116324033142,3.787994867936899,,,,,,,
0.00395828712301953,0.5150043882446169,3.95828712301953,,,,,,,
0.004132665084798002,0.5166710691127224,4.132665084798002,,,,,,,
0.0043112377054508695,0.5162591163063831,4.3112377054508695,,,,,,,
0.004494059461067412,0.5101401514610467,4.494059461067412,,,,,,,
0.004680694542933405,0.5133377073765113,4.680694542933405,,,,,,,
0.004871524283673794,0.5118072761390239,4.871524283673794,,,,,,,
0.005066330778931468,0.517924468294468,5.0663307789314675,,,,,,,
0.00526527745697426,0.5147306829418917,5.26527745697426,,,,,,,
0.005468418793891448,0.5083376647721946,5.468418793891448,,,,,,,
0.0056755913614152,0.5083376647721946,5.6755913614152,,,,,,,
0.005886795159545513,0.5052729792550803,5.886795159545513,,,,,,,
0.006102193616550223,0.511534849401263,6.102193616550223,,,,,,,
0.006321405399804384,0.506670983904089,6.321405399804384,,,,,,,
0.006544757365843663,0.5080675025801843,6.544757365843663,,,,,,,
0.0067720860864002265,0.5034716527491375,6.772086086400226,,,,,,,
0.007003663941920465,0.5030701173089038,7.003663941920465,,,,,,,
0.00723889169542232,0.500137403393183,7.23889169542232,,,,,,,
0.007478314107798572,0.4907874301924777,7.478314107798572,,,,,,,
0.007721713274692108,0.5029363004017021,7.721713274692108,,,,,,,
0.007969034720013651,0.5014043222184771,7.969034720013651,,,,,,,
0.008220441872031034,0.4983375795635613,8.220441872031035,,,,,,,
0.008475607874208592,0.4934689046812739,8.475607874208592,,,,,,,
0.008734696154814156,0.5000042604316668,8.734696154814156,,,,,,,
